sentence,vote
@anadetective Pues a mí siendo un peluche raro me dabas miedo.,Negativa
Si alguna vez te sentaste inútil piensa en este hombre que se pone el micrófono del cuello todas las mañanas para no abrir la puta boca #LaIslaDeLasTentaciones11 https://t.co/y8ybpc3oo6,Negativa
"Buenos días... jajajaja 
A ver cómo os explico esto sin contaros nada....🤣🤣🤣
QUIERO DORMIIIIIRRRRR!!!! 😫",Positiva
Sección de Piragüismo Club Natación Langreo. Sevilla / Campeonato de España. https://t.co/4o5jOOEbOV,Neutra
"""Si tu supieras quizás el miedo que da que la que salga en la tele llorando sea mi mamá""",Negativa
"Odio que me hagan reír cuando estoy enfadado, me arruinan todo el drama",Negativa
"@whohurtsme &lt;&lt; incomodo, tan fuera de lugar que no hacía falta que Luciano se burlase de él. Era lo mismo que un oficinista en un circo.

— Eso me ha dicho, señor. Perdone mi presencia.

“No te vayas a reír, imbécil”, tragó con fuerza, disfrazando aquello como si fuese miedo. &gt;&gt;",Negativa
"Estoy deprimido. 
La única persona que me podría dar una alegría hoy es la jueza María de los Ángeles Álvarez Camacho. 
Espero que no me falle.",Negativa
"@jrobbertt @HistoricosGDL Jajaj nada de eso, estoy ahí porque yo la organice jajajaja ntc saludos Lira alegria un abrazo",Positiva
"El PSOE y UP nos comprometimos ante toda España a regular los precios de los alquileres. No cumplir un acuerdo de Gobierno que se firmó ante los ciudadanos es faltarles al respeto. Unidas Podemos no va a consentir que se tome el pelo a la gente. Lo que se firma, se cumple. https://t.co/bVW3CmUGvb",Negativa
"Voto por un programa donde aparezca esta diosa y sean tan ambles de colocar unos subtítulos, sus fans la aclaman en el mundo entero! Sería un acto de justicia. ¡Gracias! #YleniaEsUniversal aunque el sólo verla inunda la vida de alegría. @YleniaBaglietto https://t.co/AyGHuP0Y99",Positiva
"Buenas tardes,
seguirá el tiempo bueno y algo nublado en LP con ambiente fresco a templado. A partir de la noche de mañana desmejorará con precipitaciones y tormentas dispersas que continuarán durante la madrugada y mañana del sábado. https://t.co/4nHfEVYKWq",Neutra
"Triste noticia, falleció don #LuisBedoya fundador del #PPC Mis condolencias a su familia y a la familia Pepecista. Gran demócrata que deja un legado ejemplar en la política del #Peru",Negativa
"Los salarios cayeron el doble en España que en Europa durante el año 2020. 

@cotizalia 

https://t.co/tT9tTcglSc",Negativa
"Nuestro ultimo participante revelado esta noche.

Se juntaron los pibes! 
Estará el resto del imperio, verdad?... ver... verdad..?

Denle la bienvenida a @CrisGreen95 ! https://t.co/n36DwuPWn7",Positiva
Necesito alguien que me haga un cafecito por las mañanas,Neutra
una nueva noche fría en el barrriooo,Neutra
"Verdades de los Primeros Auxilios de patio escolar: 
1. LÁVATE LAS MANOS bien. Lo primero. Antes de nada.
2. Si tienes guantes a mano, úsalos, si no lávate más.
3- Las heridas NO se desinfectan con ALCOHOL.
4- TAMPOCO con AGUA OXIGENADA.
5- Mejor tampoco antisépticos con color.",Neutra
"Un recuerdo de cuando las mañanas eran puro baile y energía

Gracias:
🧠 @maidemarchi 
🏠 @unityclubdedanza  
Por tanto 

🎶 @arianagrande - 34+35 https://t.co/46Q3B6iAZc",Positiva
@ElBiku El fran dijo que la última vez te lo desinstalaste muy enfadado,Negativa
Un #VIRGO enfadado está enfadado de verdad. Has tenido que estresarlo demasiado para que llegue a eso. Y poca gente lo conoce en ese estado.,Negativa
"“Me duele que Hugo se haya enfadado conmigo”
Susan TODA ESPAÑA ESTA ENFADADA.
 #LaIslaDeLasTentaciones11 https://t.co/s9eBXEOJ95",Negativa
"Me copio, según tu mes, ¿qué eres para mi?

Enero - mi hermanx
Febrero - mi bff
Marzo - mi sumisx
Abril - nada
Mayo - mi bebe
Junio - mi enemigx
Julio - mi amigx
Agosto - mi soulmate
Septiembre - mi amante
Octubre - mi amor
Noviembre - mi ex
Diciembre - mi novix",Neutra
"@yosoyungamer @clarotodo El más que nos traiga alegria
(Monster Hunter: World Iceborne, en lo que llega MH Rise el 26)",Positiva
"Amable recordatorio de que no respondan tuits sobre conatos de secuestros diciendo ""Yo me la paso ahí de lunes a jueves en las mañanas y vivo a 2 cuadras"". Hagan el favor.",Neutra
Necesito decir esta frase cada noche de agosto ya 🥺 https://t.co/RtEcZpY7AR,Positiva
"Feliz noche mi gente valiente! 🤗
#DaleUnParaoALaCovid19

@amelia74698445 @GemaPSUV @Vilma_Meche @Maria14287934 @MaryuriRG @MoraimaMartine5 @MaestraPSUV @Vistarevolucio7 @BELEN267248505 @SotoRitzgla @Biristay1980 @yasmi70 @MaribelUgas4 @lombardi95 @edelyisa @GHA80633107 @Paola2T",Positiva
"Es una enorme alegría poder compartir la emoción de las familias de Trenque Lauquen al recibir sus nuevos hogares.

Hoy entregamos 11 viviendas en la localidad de 30 de Agosto, junto a @MFernandezTL y @agussimone.

#ObrasQueTransforman https://t.co/tU7ZatytM9",Positiva
"Wanderers informó este jueves que los nuevos hisopados arrojaron otros dos nuevos positivos de Covid-19 en la delegación: se tratan del futbolista Paulo Lima y del funcionario Ignacio Gallardo.

https://t.co/dw4BOPVqNR",Positiva
"Que el mayor rescate empresarial aprobado por el Gobierno haya ido a parar con 53M€ a Plus Ultra, una aerolínea con sólo 1 avión relacionada con Maduro que representa el 0.03% de los vuelos en España, mientras no llegan las ayudas a millones de españoles arruinados, es tremendo.",Negativa
"📢 En #RadioPaís, la periodista de @radionacionalsl 
 Ayelén Britos sostuvo que la estudiante “posiblemente se haya contagiado en San Luis y no en la provincia vecina”.  En la provincia hay un promedio de entre 70 y 80 casos de #coronavirus  por día.

https://t.co/KpXJcQUXkw",Negativa
"Amigos, necesito con carácter de urgencia una bombona de oxígeno de 2 mil lbs (cargada). Sé que esto está súper complicado pero ya se va a acabar la que recargué ayer y no podemos desconectar a mi abuela. Cercano al Junquito, Paraíso, Vista Alegre o Montalbán. Se los agradezco 🙏",Negativa
Efraín Alegre cada vez que hay manifestaciones en contra del gobierno https://t.co/kHXUetRIBM,Positiva
La encontraron. Esta viva. Es una niña la puta madre. Algo no funciona. La humanidad? Los gobiernos? No se q carajo es pero estamos haciendo mal las cosas. Pensaré desde mi lugar q puedo hacer. Q felicidad ver a esa reina viva.,Negativa
"🔴 LA HUELGA DE LA CONSTRUCCIÓN 

✔️ #TalDiaComoHoy 
82 dirigentes de las @CCOO  de toda España se reúnen en la iglesia de Cristo Rey La Sagrera Barcelona. 

✒️En la reunión se acuerda la convocatoria de la huelga general sector para el 28 29 y 30 abril. #HuelgaConstruccion1976 https://t.co/7IrjvUCqp0",Neutra
"El problema de España son los youtubers que se instalan en Andorra y las infantas que se vacunan en Abu Dabi.
No regalar 53M a la chavista aerolínea con un solo avión Plus Ultra, representada por Baltasar Garzón.
Da miedo pensar cómo despilfarrará el Gobierno los fondos europeos.",Negativa
"El problema de España son los youtubers que se instalan en Andorra y las infantas que se vacunan en Abu Dabi.
No regalar 53M a la chavista aerolínea con un solo avión Plus Ultra, representada por Baltasar Garzón.
Da miedo pensar cómo despilfarrará el Gobierno los fondos europeos.",Negativa
Estoy triste porque ya llevo 3 semanas sin conseguir aguacates bonitos en la frutería,Negativa
"Ser adulto es pagar, pagar, dolores de espalda, pagar, pagar, ansiedad por un futuro incierto, pagar, pagar, despertarse en las mañanas cansado, pagar, pagar, aplicación de Bancolombia caída, pagar, pagar y pagar.",Negativa
@nelvaldez Una tragedia que triste y lamentable,Negativa
me ves trankilito pero necesito 25 t quieros al día sino me pongo triste,Positiva
... Qué triste que se normalice... https://t.co/ozB6yeOZnz,Negativa
"Acá un responsable más de la muerte de 400 personas en una de las peores tragedias del país.

Preso debería estar, no accediendo de forma privilegiada a una cama.

#YoNoOlvido https://t.co/3RyQcmdm5E",Negativa
"La tranquilidad de no tener nada que ocultar, no tiene precio.",Positiva
"Nadie me habló de la realidad LGTBI en la EGB. Ni en el BUP. Nadie me dijo en esa clase, en la que la pluma se castigaba con la burla y el acoso, que no había nada malo en mí. Nadie me habló de ser visible. De ser libre. De no fingir. De que la diversidad nos define y nos une.",Positiva
Necesito alguien que me haga un cafecito por las mañanas,Neutra
Vivo enfadado conmigo mismo🤨,Negativa
"Las vacunas se debieron haber comprado con antelación,  esto es desde que estaban en fase 1, para ir programando la producción los fabricantes,  para éso se requerían anticipos o pagos totales por pedidos, según el caso, pero estos ignorantes al no saber nada de nada, un bodrio. https://t.co/kpczuDSPKv",Negativa
"@cburgueno @sebastian_soso Bueno, los políticos van a tener que ganar menos y empezar a distribuir parte de la que se chorean (no hablo del sueldo) y ahora se dan cuenta que la educación es todo? O van a seguir dándoles pescado en lugar de enseñarles  a pescar, no sean caretas, si ninguno va a hacer nada!",Negativa
"Tú vales la pena, la alegria, la espera, la distancia, los momentos, las lágrimas, las risas, los días, las noches.... Tú lo vales todo para mí... P. A. #ÖzgeGürel.. Noches https://t.co/MoImXOnha8",Positiva
saber ingles🤝usar el traductor por el miedo a errar,Neutra
"@__erosgarcia @GemMuay Te entiendo pero pienso que debemos resistir, lo que buscan es precisamente esto, que desaparezcamos de todos lados x miedo al señalamiento",Positiva
"Ansiedad social: tener que ir a un lugar al que jamás has estado y estar buscando en Google Maps varios días antes, las calles por medio de la vista 360 por el miedo a perderte. 😅",Negativa
"Papá estoy realmente enfadado de que no hayas venido a mi graduación.

Hijo, con 35 años creo que ya puedes ir solo al oculista",Negativa
Sugiero a la PGR. que ya basta de INTERROGATORIO.  y bla bla ! Comiencen a meter a todos esos ladrones del pld. Y cuento acabado; cuál es el MIEDO 😤😤,Negativa
"El equipo de Recreovías Realizaron Recreovía Solidaria en la colonia Santa Clara del Distrito Central, llevando alegría e insumos a los niños y niñas de este sector siempre tomando las medidas de bioseguridad. https://t.co/bVXMAIM28e",Positiva
Friendly reminder: la economía junto al libre juego de las fuerzas del mercado tienden libremente al pleno empleo de los recursos productivos. todo lo contrario https://t.co/Ozbmq4Vfuq,Neutra
Sobre el caso de los futbolistas de la Selecta🇸🇻 que habrían renunciado a la convocatoria: ningún dirigente que ha pasado por la FESFUT lo ha hecho para mejorar las condiciones de los futbolistas. Hay responsabilidad compartida.,Negativa
"tu,yo y un viaje a grecia https://t.co/6SOkYcfw84",Positiva
"Amigos, necesito con carácter de urgencia una bombona de oxígeno de 2 mil lbs (cargada). Sé que esto está súper complicado pero ya se va a acabar la que recargué ayer y no podemos desconectar a mi abuela. Cercano al Junquito, Paraíso, Vista Alegre o Montalbán. Se los agradezco 🙏",Negativa
"Hasta ahora logré ver el episodio de drag race UK, estamos de acuerdo que Tayce fué la ganadora de ese performance? Que triste ver a Bimini con esa energía tan baja en la final y que chiva que ganara Lawrence 🥰
(Tia no pudo ni ponerse padding para ese look tan chiva ☹️)",Positiva
",🤬🤬
✅ 53 millones de euros a la aerolínea chavista Plus Ultra con un avión y 350 empleados.

❌ 0 euros para autónomos, hosteleros y comerciantes.

Solo tendría sentido si es el avión que utilizará el Gobierno para huir a la Venezuela de Maduro.

https://t.co/HGi1HAkiwb",Negativa
"sinceramente vaya temporada de mierda que llevo y que me espera, estoy triste y agobiada",Negativa
"🛩️ ¿Cuál será la silueta que corresponde con el avión?
https://t.co/VZOjDz8s0F https://t.co/Rj6oFhIV35",Neutra
"“Este es un reconocimiento que tiene que ver con la fuerza de todas las mujeres que han decidido hacer algo por parar la violencia”, ha explicado la periodista mexicana @ingerdbl, ganadora del Premio Rey de España por el podcast ‘Calladitas nunca más’. https://t.co/7uXmi6Lxjy",Neutra
"Vacunados con AstraZeneca en España: un millón.
Fallecidos vacunados en España: 1
Pruebas de que sea por la vacuna: ninguna.
Los medios:  ¿SE DEBE SUSPENDER LA VACUNACIÓN? LO DEBATIREMOS TODA LA MAÑANA DE HOY, Y LA DE MAÑANA, Y LA DE PASADO.",Positiva
Hablando de enjoy. Mi viejo se fue preso por injurias por decir que los Martínez se movían como gángsters. El tiempo hizo público ese hecho evidente.,Positiva
"#Madrid 
CACHILA guapisima MIX #LapsaApso de 2años y 6 kg de peso
Fué rescatada de ""un mal lugar"" y ha restultado ser SUPER alegre,pizpireta,graciosa,juguetona y cariñosa
Muy sociable con peludetes y humanos
Necesita #AdopcionResponsable 
#adopta
📩facenuevavida@gmail.com https://t.co/EuG6lVS61h",Positiva
"🌿🍀Feliz noche para tod@s🍀
#DaleUnParaoALaCovid19
#HitoBicentenario3millones500mil
@20Venceremos @20Mivzla @luchadora2021 @amelia74698445 @mercedeslouzaod @delvall06549286 @ch_cdg @yhoscarly @Yohander2911 @rafael_1981_198 @miindiarosi @cariodita020519 @Alexand13510754 @yasmi70",Positiva
"‼️ DÍA DE PARTIDO ‼️

🆚 @adalcorconfsf 
⏰ 19:30 
🏟 Pabellón Vista Alegre (Burela)
📺 https://t.co/p9EMws94Kd 
🚪 Abonados mixtos y femeninos

📸 : @cjsportpictures 
Gráfica : @lmcortes14 

👟 @munichsports https://t.co/0U0XTOFBF8",Neutra
"¿Cómo se ha pervertido todo para que las reclamaciones sociales (firmadas en un pacto) que UP hace sean ""exigencias"" y se ""enroque"" en ellas? O para que Cs se haya convertido en el malo de la película en Murcia... La verdad es que da miedo, caris.",Positiva
"@SwingCompletoBB Tienen miedo q se les quede todo el equipo. Si traen al menos a la mitad que juegan fuera, solo se les quedaran la mitad. Eso pasa cuando no trabajas bien la Serie Nacional. Busquemos las causas de las decepciones y no mal juzguemos  a los que quieren mejorar profesionalmente.",Positiva
"— ¿Qué tal, guapa?
— Estoy muy triste..Mi jefe me acaba de echar del trabajo ¿vienes a casa a consolarme?
— Lo siento. No me gustan las despedidas.",Negativa
"Un poco de como se vive la vacunación en San Fernando, con alegria, con amor, con esperanza y sobre todo con mucho orgullo!
Gracias @Kicillofok por la gran campaña de vacunación que pusiste en marcha
Gracias @CFKArgentina @alferdez por las vacunas
#BuenosAiresVacunate @matimolle https://t.co/WRxypL98sR",Positiva
"La encontraron viva hermano cuantas veces podemos decir esto es fuertisimo, q alegría POR DIOS",Neutra
"Nunca, nunca nadie me provocó tanta alegría y tanto llanto a la vez @mauriciomacri https://t.co/mxIbh5UEG9",Positiva
"Llegamos al destino, debo poner que la zona no era la mejor y la neta de noche si daba miedo le pagamos al conductor y le dimos la gran propina por ser buena onda https://t.co/oSdCP15gFr",Positiva
"La mayoría de personas murieron en las oleadas de flujo piroclástico que durante la noche expulsó el cráter a más de 200 km/h y a 500ºC de temperatura, carbonizando en el acto lo que encontraba a su paso. #FluzoDesastres @HistoriaNG
https://t.co/xvT2wK8QvR",Negativa
Simón descarta volver a la normalidad de antes https://t.co/Q8HNK7hRXz,Negativa
Isidro con arnés de viaje es lo más adorable que vais a ver hoy. https://t.co/znF5BeFZA7,Positiva
"Me acaban de decir que le parece triste que yo viaje solo, vaya a la playa solo y haga todo solo...

A mi me parece más triste dejar de hacer las cosas que te gustan esperando por la compañía de alguien, el ""no puedo, no tengo con quién"" 🤷🏾‍♂️",Positiva
"Tienen:
-1 avión
-350 empleados
-0,03% de los vuelos operados en España

Pero la ministra de los ERES les regala 53ME de dinero público por “estratégica”

Razones:
-El 47% es de los amigos de Delcy
-Representante legal, Garzón

Grave escándalo q hace peligrar los fondos europeos",Neutra
Vale y ahora el miedo creado a la población durante horas y horas de televisión con gente hablando de cosas de las que no tiene ni puta idea quien se lo quita ? https://t.co/cXdvpvZcYN,Negativa
"No tiene porqué suprimir la pequeña propiedad, ya que por mucha acumulación que exista, siempre habrá. Por eso, aunque a muchos joseantonianos duela y sin ánimo alguno de ofender (Dios me libre), es más viable el ""ramirismo"". El propio capitalismo marca el camino.
FIN https://t.co/R8Ougf4A8k",Negativa
"#bnha306 

yo: pero qué pas-

tw: 
DEKU ABANDONÓ LA UA 
DEJÓ UNA CARTA Y NADA MÁS 
SEGURO SE MURIÓ 
TENGO MIEDO
NOOOOO DEKU VILLANO 

yo también: 

https://t.co/0UlsCYkb5M",Neutra
"@andizaurio @DiegoCofreRam @marcelaguinaga Ves, porque no aprueban el aborto voluntario. Porque tu mamá lee las estupideces que escribes y va a querer abortarte.
Si, Correa perdió en la consulta, pero a pesar de aquello ahora les tiene cagados de miedo al punto que tuvieron que unirse Lasso y Nebot; y ni así ganaron.",Negativa
"Despertar contigo en las mañanas me emociona y me motiva.
Estoy persiguiendo mi sueño pero también tú eres mi sueño realidad.",Positiva
"@Ikatari @ccarballo50 Cercanía sin mascarilla durante tiempo prolongado al aire libre (terrazas) -&gt;peligro
Exposición prolongada durante largo tiempo con mascarilla mal ajustada o de mala calidad en espacio cerrado (colegios)-&gt;peligro
Ídem sin mascarilla (Hostelería, casas) -&gt; mucho peligro",Negativa
"Señor Ministro,el Poder Judicial no debe ser alcanzado por las amenazas e imposiciones del Ejecutivo, Jamás el #CJF debe rendir VASALLAJE  sea por miedo, intereses o presiones, a sujeto alguno, su independencia como uno de los poderes de la Unión debe defenderse con gallardía. https://t.co/1CimN9D4Yy",Positiva
"MÚSICA Y LÁGRIMAS (1953)

Servicial biopic sobre la figura de Glenn Miller, que mezcla musical con melodrama y la siempre agradable presencia de James Stewart. Enérgico, alegre y colorido retrato del mundo jazzístico con cameos estelares. La música está por encima de la historia. https://t.co/BvjoEC3d6N",Positiva
¿Cuándo va a entender Efraín Alegre que a el TAMPOCO lo queremos?,Negativa
"Chumel Torres sí sigue muy triste después de perder su programa de HBO, ¿verdad? Era la joya de su corona de Burger King.",Neutra
Qué ganas de agarrar un avión pa cualquier lado.,Positiva
@hongsimpjoong Rie sin miedo y si preguntan decí que estabas estornudando,Positiva
El canta mañanas de tony. Es que es taaaaan de primero de teatro  #LaIslaDeLasTentaciones11 https://t.co/2IomPBH2Vv,Neutra
"@Carlosyayon 🇵🇷🙏☕HI. MUY TRISTE. ¡FELICIDADES PARA ELLOS! JAJAJAJA, CÓMICO EL VÍDEO. LINDO VIERNES SOCIAL Y MARAVILLOSO WEEKEND.  DLB.💋🥐💖",Neutra
"NECESITAMOS #ACOGIDA RESPONSABLE PARA WOLF. POR ASUNTOS LEGALES AJENOS A NOSOTROS/AS, POR EL MOMENTO SOLAMENTE ACOGIDA A LA ESPERA DE INSTRUCCIONES PARA POSIBLE FUTURA ADOPCIÓN.
#VALENCIA.

WOLF, macho de 8/9 meses aproximadamente.
Tamaño mediano. 
Muy alegre, activo y... https://t.co/xwNhD2PMml",Positiva
"Fondos destinados a ayudar a empresas estratégicas se dedican a salvar la “compañía aérea” de un chavista, compuesta por un avión.

Espero que nuestros socios europeos fuercen el establecimiento de todos los controles que el sanchismo elude y piensa seguir eludiendo.",Neutra
"#DíaDoPai 
Non cambies por un día o que levas meses protexendo con tanta dedicación e agarimo. 
✅ Usa máscara 
✅ Prioriza os encontros ao aire libre 
✅ Respecta os aforos en locais e lugares de culto 
✅ As reunións de non conviventes en domicilios están prohibidas https://t.co/wxsfPJ5xsw",Positiva
"Es el séptimo viaje que se realiza para traer las dosis al país 💉✈️
#COVID19  
https://t.co/yPhN1BSzWs",Positiva
Isidro con arnés de viaje es lo más adorable que vais a ver hoy. https://t.co/znF5BeFZA7,Positiva
"Sueño de una noche de verano
Gustavé Doré https://t.co/e4OyToaRZe",Neutra
la manera en la q yo estoy triste de verdad https://t.co/a5qpS8jJVS,Negativa
La justicia colombiana funciona tan pero tan mal que Uribe está libre aún contratando a los peores abogados de todo Colombia.,Negativa
El Deportivo Córdoba inicia la segunda fase recibiendo en Vista Alegre 18:30 Horas al filial del Torreblanca https://t.co/7prJHag440,Positiva
"Finca Cortesin Hotel Golf &amp; Spa, donde todos tus deseos serán atendidos 🤙📍
#España 😁 #Gastro #viajar
https://t.co/A4qvSpjnhF",Positiva
"“Me duele que Hugo se haya enfadado conmigo”
Susan TODA ESPAÑA ESTA ENFADADA.
 #LaIslaDeLasTentaciones11 https://t.co/s9eBXEOJ95",Neutra
"Lo del riesgo de morir por la vacuna vs por cualquier medicamento es como la inquietud al subirnos a un avión vs lo peligroso que es subirse a un coche. 

El miedo no es un cálculo racional. Está influido por
1) la presencia de noticias escandalosas
2) la costumbre https://t.co/N2AmUmlwEG",Negativa
@ajplusespanol La gente tiene mucho tiempo libre,Positiva
QIE MI LAVADORA LA PUEDO PROGRAMAR PARA QUE SE PONGA A FUNCIONAR POR LAS MAÑANAS SOY FELIZ #LaIslaDeLasTentaciones11 https://t.co/e2ryEOYS8j,Positiva
"Me estoy poniendo triste porque no me sale ningún problema, llevo desde las 8 con ello, y solo quiero jugar al AC.",Negativa
"@diariosevilla Si esa mujer era propensa a enfermedades cerebrales y está vacuna resulta que da fuertes dolores de cabeza, que se le rompa un vaso sanguíneo que le provoca la muerte es que SI tiene que ver con la muerte. Dejad de engañar. Astrazeneca da miedo #YoNoMeVacunoConAstrazeneca",Negativa
"“Me duele que Hugo se haya enfadado conmigo”
Susan TODA ESPAÑA ESTA ENFADADA.
 #LaIslaDeLasTentaciones11 https://t.co/s9eBXEOJ95",Neutra
"⠀⠀ 
──Claro que podemos. Pide lo que gustes, esta vez yo invito. 

Deslizó el menú por la mesa hasta que estuviese a visión cercana del muchacho. Él ya sabía que iba a pedir, pues frecuentaba aquel lugar. 

──¿Has estado bien durante estos días? Te veo alegre. https://t.co/swsDo0O2OB",Neutra
Mi solidaridad total contigo @Graciela_Jimena . Recibo amenazas del mismo sujeto por el trabajo periodístico que hacemos desde DiloFuerte también. Los periodistas no deberíamos trabajar con miedo @PoliciaPeru https://t.co/BgYxGFAzxz https://t.co/HInjVEgCQG,Negativa
"Estamos tan acostumbradas a recibir pésimas noticias cuando desparece una piba que tengo una mezcla de sorpresa, emoción y alegría tremenda. Maia apareció con vida.",Positiva
saber ingles🤝usar el traductor por el miedo a errar,Positiva
"Feliz cumple Costitaaa genia!!! @CostaOkis GRACIAS CHICOS/AS por acompañar mi viaje al jardín!!! Son lo maaaas!! Participo por los premios! 
#clubdelmoro @ClubDelMoro_OFC",Positiva
Lula preso ! ✌🏻🇧🇷👊🏻,Neutra
"Veronika Mendoza amenaza la libertad de prensa tal como lo hizo Fidel Castro , Chávez , Maduro y Correa . Un país libre es lo más valioso que uno pueda poseer . #TerronikaNoVa",Negativa
"Boric hace un par de semanas ""descartó de plano"" en el programa Pauta Libre, ser candidato a presidente, por ser según, sus palabras ""no capacitado"" para tal tarea, así o más mentiroso.",Neutra
"Que los turistas extranjeros puedan viajar a Mallorca y Canarias en Semana Santa pero los residentes en España no, da una idea clara de cuál es nuestra posición subordinada como zona de recreo en Europa.",Negativa
"Lo del riesgo de morir por la vacuna vs por cualquier medicamento es como la inquietud al subirnos a un avión vs lo peligroso que es subirse a un coche. 

El miedo no es un cálculo racional. Está influido por
1) la presencia de noticias escandalosas
2) la costumbre https://t.co/N2AmUmlwEG",Negativa
"No, está noche no mereces irte a dormir con miedo. Está noche mereces irte a dormir con fé, con el alma encendida y la conciencia en paz. Sabiendo que todo vuelve. Que das amor.",Positiva
"Seguro que lo habría hecho, no lo dudaba, incluso a veces en los sueños se podía vislumbrar su rostro si no era cuidadosa. Eso o la había visto en cualquier biblioteca escondida tras una pila de libros.

— ¡Yo soy Sandy!

Tan confiada y alegre, le tendió la diestra.",Neutra
"El Tte Cnel Ruperto Sánchez, #presopolítico, se encuentra en Ramo Verde. Es uno de los 320 #presospolíticos en #Venezuela. Cumplió su condena a pesar de ser inocente y lo mantienen arbitrariamente privado de libertad. Lleva casi 7 años preso. #LiberenARuperto https://t.co/nFgnEcdrgT",Negativa
"Nuestro ultimo participante revelado esta noche.

Se juntaron los pibes! 
Estará el resto del imperio, verdad?... ver... verdad..?

Denle la bienvenida a @CrisGreen95 ! https://t.co/n36DwuPWn7",Neutra
"que seas libre, y en tu libertad me elijas.",Positiva
"🐶 4 añitos tiene nuestro pequeño Luck 🥰

Siempre está alegre y lleno de energía. Lo que más le gusta es pasarse el día jugando ⚽ y le encantaría poder hacerlo en su nueva casa, con su nueva #familia 👨‍👩‍👦

Accede a su ficha de #adopción aquí ➡ https://t.co/UrT7zS4NYs

#Consorcio https://t.co/wZind1tqM4",Positiva
"Buen y alegre dia mundo azul, twitterlandia, #FelizViernes que sea un gran dia, como se puede ser feliz en medio de tanta injusticia en chile, la respuesta la tiene cada uno, pero queda prohivido llorar sin aprender.",Negativa
"Me acaban de decir que le parece triste que yo viaje solo, vaya a la playa solo y haga todo solo...

A mi me parece más triste dejar de hacer las cosas que te gustan esperando por la compañía de alguien, el ""no puedo, no tengo con quién"" 🤷🏾‍♂️",Positiva
"El problema de España son los youtubers que se instalan en Andorra y las infantas que se vacunan en Abu Dabi.
No regalar 53M a la chavista aerolínea con un solo avión Plus Ultra, representada por Baltasar Garzón.
Da miedo pensar cómo despilfarrará el Gobierno los fondos europeos.",Negativa
"La Jurisdicción Especial para la Paz determinó que el antiguo Secretariado de las FARC-EP es responsable por los crímenes de guerra de toma de rehenes.

Con esto, el país comienza a reparar a las víctimas.

https://t.co/h7JG6pyNBk",Negativa
"Me acaban de decir que le parece triste que yo viaje solo, vaya a la playa solo y haga todo solo...

A mi me parece más triste dejar de hacer las cosas que te gustan esperando por la compañía de alguien, el ""no puedo, no tengo con quién"" 🤷🏾‍♂️",Positiva
"París y su región confinadas durante 4 semanas. Mientras, los franceses no paran de venir a España a hacer el cabra. ¡Monstruos @sanidadgob ! 👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻 Es que es de cárcel...",Negativa
"La compañía con lazos chavistas rescatada por el sanchismo, la “estratégica” de un sólo avión Plus Ultra, fue la segunda aerolínea con más denuncias de pasajeros ante el Estado en 2019

Y mientras,tantos autónomos o empresas sin ayudas

Cada vez huele peor
https://t.co/k7EawOXBPv",Negativa
"Que PAJA ponerte mal de la nada, porque vos decís ""estoy triste y no sé por qué"" y si sabés, pero son tantas cosas acumuladas que no sabes cómo expresarlas y eso te pone peor, hasta lo más mínimo que te hagan te dan ganas de llorar",Neutra
"@PattaMendez En venezuela impera el reino del miedo. Si por un tweet han puesto@preso a más de uno. Imagínate. La población sobrevive en todo, por comida por servicios por todo . Hay un total hermetismo sobre dónde a quien y cuándo colocan la vacuna . Siempre la atención se desvía !",Neutra
"@Xavigonzalez77 @bandoleranovel @CoronnaK @elmundoes Si, entiendo que se hayan rescatado empresas privadas españolas, bancos... Pero... Una aerolinea venezolana con un unico avion? Y nuestras pymes y parados desesperados? Pues no, eso no lo entiendo, iluminame por favor.",Positiva
"Es el séptimo viaje que se realiza para traer las dosis al país 💉✈️
#COVID19  
https://t.co/yPhN1BSzWs",Positiva
"Migrar no siempre es un viaje de huida, a veces es de llegada. Y otras muchas es por amor. ¿Y tú por qué migrarías?

https://t.co/0Np9yGWB5L",Positiva
Isidro con arnés de viaje es lo más adorable que vais a ver hoy. https://t.co/znF5BeFZA7,Positiva
Vale y ahora el miedo creado a la población durante horas y horas de televisión con gente hablando de cosas de las que no tiene ni puta idea quien se lo quita ? https://t.co/cXdvpvZcYN,Positiva
"Desde ⁦@Cs_Europa⁩ hemos denunciado ante la ⁦@EU_Commission⁩ este “rescate”.

Plus Ultra: la aerolínea rescatada por ser ""estratégica"" sólo tiene un avión https://t.co/Jlhfu11PMB",Negativa
Hoy hace un año se decretaba el ASPO para todos el país. Menos para la jefa que ese día viajó a Cuba y Tinelli a Esquel con su flia. y en avión privado. Yo NO me olvido,Neutra
Un avión de @laserairlines fue alertado por los propios pasajeros de un bote de combustible.  Lo más asombroso es que los pasajeros debieron quedarse un buen rato dentro del avión bañado de gasolina hasta que Maiquetía le diera autorización de bajar. Todo mal . https://t.co/qKrCDFsoEh,Negativa
"Me acaban de decir que le parece triste que yo viaje solo, vaya a la playa solo y haga todo solo...

A mi me parece más triste dejar de hacer las cosas que te gustan esperando por la compañía de alguien, el ""no puedo, no tengo con quién"" 🤷🏾‍♂️",Positiva
Que miedo hacer algo por última vez y no saberlo y que miedo saber que es la última vez y no aprovecharlo 🎱,Negativa
